pass_uid,user_freq,shop_num,time_num
1055628098,45,21,45
1055851525,45,29,45
1055854987,45,20,44
1056164854,45,29,45
1056230287,45,23,45
1056597741,45,27,44
1057167751,45,19,45
1057776249,45,15,45
1057882626,45,30,45
1057885307,45,23,42
1057970153,45,27,45
1058135606,45,21,45
105823827,45,19,45
1058678616,45,20,43
1058692885,45,26,45
1058862775,45,16,45
1059340534,45,18,45
1059397022,45,15,43
1059553203,45,20,45
1059557453,45,29,45
1059771245,45,21,45
1059781111,45,29,44
1059811253,45,33,45
1060648869,45,19,45
1060800385,45,23,45
1061596902,45,31,45
1061639779,45,16,45
1061995023,45,15,45
1062357464,45,18,43
1062393262,45,16,43
1062607515,45,24,45
1062876090,45,31,45
1063024557,45,22,45
1063044785,45,12,43
1063449407,45,19,45
1064270146,45,15,45
1064718423,45,14,45
1064753490,45,33,44
106498720,45,23,44
1065297734,45,29,45
1065459709,45,19,45
1065495605,45,29,45
1065608461,45,12,44
1066580818,45,22,44
1066972690,45,23,45
1067024312,45,21,45
1067290708,45,23,45
1067486101,45,27,45
106768632,45,27,45
1068243009,45,28,45
1068449529,45,35,45
1068494419,45,20,45
1069460384,45,15,45
1070627677,45,19,45
1070703344,45,17,44
1070790996,45,17,45
1070821641,45,13,43
1070866896,45,30,45
1071062007,45,26,45
1071303589,45,21,45
1071806234,45,19,45
1072057828,45,27,45
1072225387,45,29,45
1072274315,45,28,43
1072567403,45,38,45
1072975858,45,34,44
1072988310,45,24,45
1073098483,45,27,45
1073159869,45,11,43
1073303488,45,22,45
1073534647,45,13,45
1073668429,45,25,45
1073808339,45,16,45
1074139388,45,15,45
1074988057,45,21,45
1075065797,45,14,45
1075097603,45,8,42
1075607687,45,14,40
1075703106,45,6,45
1075968147,45,22,45
1076516411,45,20,45
1076621896,45,32,45
1077024278,45,25,45
1077558752,45,10,44
1077956079,45,15,45
1078138941,45,11,45
1078731833,45,19,45
1078894801,45,15,45
1079221833,45,18,45
1079237521,45,11,45
1079457042,45,9,45
1079987744,45,19,45
1081060533,45,25,45
1081083370,45,18,44
1081185794,45,31,45
1081962255,45,26,45
1082043197,45,21,45
1082202153,45,31,45
1083443510,45,18,44
1083461594,45,21,45
1083988371,45,21,45
1084145740,45,36,45
1084290862,45,26,42
1084473635,45,3,45
1084553795,45,22,45
1084593547,45,35,44
108461247,45,32,45
1085332890,45,14,45
108562771,45,31,45
108608269,45,19,44
1087002202,45,21,45
1087428085,45,29,45
1087523748,45,34,45
1087692564,45,17,45
1088064513,45,14,45
1088148041,45,33,45
1088414715,45,30,45
1088893914,45,22,45
1089058445,45,22,45
1089060659,45,13,45
1089246976,45,17,45
1089741585,45,21,45
1090765177,45,26,45
1091024022,45,29,45
1092001829,45,13,45
1092239293,45,8,43
1093056792,45,18,44
1093560064,45,27,45
1094070018,45,20,45
1094091937,45,18,45
1094191794,45,18,45
109507881,45,11,45
1095096729,45,13,45
1095958641,45,23,44
1096657761,45,17,44
1096735196,45,11,45
1096922224,45,22,45
1097441569,45,22,43
1098456177,45,7,45
1098976130,45,14,44
