pass_uid,user_freq,shop_num,date_num
1565579877,203,68,149
161411318,203,54,185
1754057272,203,47,135
1812800614,203,30,166
1897621467,203,36,197
2183244587,203,49,161
2186231613,203,56,189
35461163,203,110,146
378191481,203,27,160
668808810,203,46,171
971211307,203,36,168
1035020521,204,88,175
1048346010,204,77,174
1194149223,204,39,167
1243469894,204,57,165
1253170918,204,69,194
1260892915,204,66,155
12771725,204,68,169
1277201299,204,83,180
1278701580,204,48,161
1295994089,204,59,167
1401841136,204,88,173
1424010162,204,66,161
1558817437,204,56,157
1567558630,204,30,146
1870388105,204,76,174
1935130648,204,50,155
2077605857,204,64,181
2130179602,204,69,152
2139071346,204,52,177
22010328,204,60,138
2246022062,204,60,158
2491044448,204,70,140
410337472,204,41,167
602159049,204,72,180
646899947,204,107,174
815285348,204,46,119
821080351,204,71,172
880352055,204,41,188
1076695467,205,54,164
1093513826,205,53,154
1192220025,205,25,192
1281331794,205,57,169
1298493185,205,74,182
138029090,205,63,178
1418308657,205,53,158
1446021375,205,65,158
1556491599,205,59,162
1654432759,205,44,160
1679138102,205,51,147
1709697679,205,54,159
1761338392,205,76,150
1857986394,205,52,168
2202440999,205,26,165
223502482,205,6,192
2331113302,205,21,153
2347611309,205,54,149
254705357,205,72,166
25985602,205,63,184
579919543,205,50,171
681196550,205,64,161
703673966,205,37,157
839412240,205,35,163
910035580,205,43,158
915847961,205,51,148
947604325,205,75,175
995025109,205,67,149
1092080376,206,71,156
1157616559,206,41,175
1278196907,206,77,153
1281071510,206,77,182
1287356556,206,33,159
1332957163,206,50,155
1381620671,206,89,172
1416441258,206,61,175
1442761814,206,55,153
1482282895,206,34,159
1637957242,206,46,166
1677272532,206,33,181
1833361655,206,35,180
2091811168,206,88,178
2120315410,206,34,170
2190088655,206,59,164
647254619,206,108,156
801232366,206,67,148
834630313,206,38,152
926812190,206,23,182
939223992,206,89,166
1043698915,207,58,160
1236637559,207,71,158
1261487288,207,24,169
1272589222,207,56,177
1274093256,207,71,181
1276793539,207,63,170
1277597130,207,26,177
1282991725,207,51,152
1364630745,207,27,132
1366776518,207,43,155
1441536861,207,21,172
1485745582,207,44,166
1570352840,207,106,148
1577869859,207,71,162
1587926446,207,50,160
1653858055,207,56,166
1728942672,207,61,160
1764632592,207,38,177
1768120904,207,43,181
2270581489,207,19,195
2448014871,207,55,147
35564819,207,100,176
726446499,207,84,172
728586001,207,26,149
909204073,207,35,148
9322506,207,41,154
943058685,207,66,167
965727037,207,39,159
969094928,207,50,162
97354307,207,61,158
1274209163,208,54,173
