pass_uid,user_freq,shop_num,date_num
1074763596,35,11,32
1074889128,35,6,35
1075065797,35,14,34
1075277893,35,17,32
1076310376,35,12,29
1076435150,35,18,34
1077187200,35,6,31
1077589448,35,11,31
107773421,35,15,33
1077760327,35,10,35
1078314545,35,10,34
1078517126,35,16,33
1078602338,35,16,30
1078825574,35,12,34
1079974224,35,23,32
1080496760,35,11,33
1080932297,35,4,33
1081007933,35,4,33
108147673,35,26,29
1082879475,35,16,33
1083399778,35,19,32
1083488186,35,21,25
1083564126,35,16,31
1083998744,35,11,34
1084237369,35,18,35
1084589567,35,21,33
1084728108,35,9,29
1085014934,35,21,30
1085100309,35,15,28
1085805580,35,12,29
1086788290,35,12,33
1086797922,35,16,34
1086883459,35,20,33
1087133060,35,6,31
1087257576,35,17,32
1087313896,35,26,33
1087496578,35,11,31
1087849638,35,17,32
1088281510,35,19,34
1088753614,35,20,34
1089110980,35,17,32
1089859275,35,15,31
1091486997,35,8,34
1092001829,35,9,33
1092154826,35,26,32
1092374085,35,5,34
1092433530,35,18,33
1092631108,35,20,33
1093458095,35,13,35
1093539444,35,23,26
1094027588,35,15,31
1094191794,35,12,29
1094742007,35,17,32
1094852827,35,15,28
1095021357,35,17,34
1095728702,35,16,35
1095817673,35,17,31
1095874555,35,20,32
1096156021,35,20,30
1097239467,35,16,34
1097898012,35,15,35
109810525,35,6,35
1099136610,35,10,33
1099747417,35,17,29
1100159271,35,17,33
1100673079,35,24,25
1100844534,35,4,35
1101657322,35,22,33
1101662413,35,12,33
1103071291,35,15,34
1103326865,35,19,30
1103571851,35,16,34
110504941,35,19,32
1105934879,35,14,33
1106139120,35,23,35
1108304310,35,25,34
1108804981,35,19,32
1109060734,35,31,30
110917967,35,29,34
1109246737,35,26,33
1110028971,35,10,33
1110300932,35,20,31
1110714802,35,19,34
1110768431,35,23,32
111098974,35,11,33
1111624531,35,18,29
1112269437,35,7,33
11122985,35,9,35
1112864749,35,16,27
1112958996,35,14,32
1113732778,35,21,31
1113901162,35,18,24
1114610439,35,19,28
1115177478,35,19,35
1115225608,35,17,32
1115335697,35,20,34
1115411628,35,23,34
1115415694,35,19,33
1115415911,35,24,33
1115502659,35,8,35
1115692995,35,17,33
1115714283,35,16,33
1115730283,35,14,34
1115792477,35,19,35
1115797773,35,16,34
1115797862,35,15,31
1115798535,35,15,33
1115799761,35,22,35
1115834485,35,18,33
1115847203,35,18,33
1115849494,35,11,34
1115857869,35,15,33
1115942797,35,23,34
1116151378,35,19,29
1116243837,35,16,35
1116272756,35,6,32
1116583314,35,23,31
1118344744,35,21,35
1119193805,35,27,32
1119393248,35,15,32
1119694654,35,23,33
1119911398,35,13,33
112859442,35,8,27
112967908,35,10,26
1130119974,35,8,31
1130452228,35,11,31
1131630454,35,19,31
1131696698,35,10,30
1132494487,35,15,34
1136281650,35,16,32
1136613244,35,19,33
1137877328,35,19,35
1138952959,35,20,33
1139367301,35,8,34
1140648234,35,15,35
1140677909,35,9,35
1140765916,35,5,35
1141781012,35,12,31
1141980728,35,22,35
114365001,35,21,31
1144719780,35,4,29
1145215771,35,10,35
1145659658,35,9,29
1145739375,35,18,29
1146129578,35,11,35
1147768729,35,19,33
1147904495,35,20,32
114819136,35,23,33
1149082271,35,29,35
1149308517,35,15,33
1149467556,35,21,33
1149912194,35,12,31
1150004554,35,19,33
1150635204,35,17,28
1151139733,35,8,29
1151548292,35,21,34
1154937732,35,13,34
1155293084,35,13,32
1157221752,35,18,30
115770893,35,23,32
1158317977,35,15,32
1158531910,35,14,31
1159046165,35,8,34
1159402891,35,18,35
1160731968,35,19,30
1163098670,35,16,35
1165313714,35,18,30
1165336458,35,7,25
116626457,35,20,35
1166307563,35,18,32
1166388668,35,18,34
1166960434,35,18,29
1167639366,35,20,29
1169591187,35,12,29
1171435004,35,21,33
1172544742,35,14,31
1172572390,35,22,30
1172922861,35,15,32
1173163240,35,11,29
1175238944,35,13,34
1175456063,35,5,31
1175869340,35,20,32
1178761528,35,18,34
1180389703,35,12,32
1181438392,35,17,32
1181578318,35,16,30
1182207767,35,19,31
1183280485,35,9,33
1183489073,35,14,34
1183521719,35,14,32
1184725600,35,18,31
1185846284,35,11,28
1185944138,35,19,27
1186736369,35,7,33
1186852258,35,21,34
1186972356,35,21,31
1187474487,35,22,34
1187810715,35,14,35
1187818496,35,25,33
1187830984,35,16,32
1189379490,35,11,29
1189892057,35,15,34
1190011653,35,12,33
1190137505,35,16,29
1190730423,35,29,33
1190895445,35,14,31
1191278905,35,20,19
1191299571,35,21,35
1191581322,35,17,34
1192178713,35,10,23
1192530195,35,7,35
1194492999,35,16,33
1195222650,35,17,30
1195308401,35,24,33
1195333810,35,23,27
119652440,35,26,30
11966946,35,17,32
1196981578,35,10,34
1197006790,35,14,34
1197466035,35,10,30
1199271445,35,17,32
1199408504,35,20,32
1200491459,35,14,33
1200725399,35,21,34
120082110,35,22,34
120121340,35,19,35
1201432630,35,6,34
1201829722,35,16,31
1202212371,35,9,31
1202709518,35,16,30
1203266789,35,18,35
1203292742,35,16,30
1203879976,35,17,28
120399075,35,19,35
1204608515,35,8,35
1206548087,35,12,35
1206658029,35,17,32
120678673,35,11,31
1207147378,35,21,34
1207377976,35,19,29
1207626355,35,22,35
1208332457,35,17,28
1211954753,35,14,31
1212472811,35,25,32
1212518960,35,21,30
1212975601,35,15,32
1213439204,35,16,35
1214588598,35,7,35
1215028217,35,29,35
1215246181,35,9,33
1216551645,35,10,29
1220137325,35,20,34
1220808822,35,4,34
1221103263,35,8,35
1222340533,35,19,28
1224449102,35,9,32
1224641897,35,23,29
1225539392,35,10,31
1226329894,35,13,33
1226518191,35,16,34
1226931789,35,26,32
1227202658,35,12,27
1228143192,35,13,31
1230828314,35,17,32
1231685824,35,10,32
1232006912,35,21,31
1232411645,35,18,30
1233382646,35,11,35
123387923,35,14,33
1234174489,35,9,32
123496445,35,7,35
12354422,35,17,32
12357159,35,23,34
1236275016,35,5,26
1236396897,35,19,32
1236411702,35,13,34
1236440839,35,18,29
1238074588,35,21,32
1238270973,35,23,30
1238571999,35,17,34
1239004039,35,14,30
1239190057,35,7,34
1239622318,35,22,31
1239700521,35,13,32
1241558949,35,8,35
1241903191,35,24,33
1242856281,35,14,34
1243053092,35,5,26
1243959319,35,5,34
1244388797,35,24,30
1244626987,35,14,35
1244995159,35,29,34
1245954994,35,14,32
1246755767,35,21,34
1247299198,35,19,33
1248031968,35,19,33
1248516788,35,27,33
1248915203,35,17,31
1249083137,35,10,33
12496876,35,21,34
1249940550,35,10,33
1251577803,35,14,31
1252928103,35,14,32
1253088853,35,27,25
1253168220,35,21,33
1253313696,35,13,34
12534749,35,13,30
1255066034,35,20,32
1255275164,35,21,35
1256099445,35,25,32
125613417,35,13,34
1256517708,35,21,28
1256781184,35,10,31
1257960938,35,12,31
1259156693,35,24,31
1259289876,35,7,30
1259639340,35,30,34
1260265270,35,6,33
1260911034,35,20,33
1262162336,35,22,33
1262786895,35,19,32
12629738,35,19,33
126395474,35,10,34
1264093115,35,17,34
1264593566,35,8,35
1264665751,35,10,31
1264888801,35,23,31
1265389940,35,19,31
1266342100,35,19,33
1266765078,35,18,33
1267208345,35,19,30
1267779256,35,16,34
1268729916,35,13,34
1269273936,35,22,32
1270127666,35,14,34
1270395381,35,24,33
1271045393,35,4,35
1271095528,35,21,34
1271096349,35,22,29
1271272345,35,16,31
1271286803,35,18,28
1271361258,35,17,34
1271428131,35,11,31
1271481722,35,17,32
1271516742,35,15,32
1271542783,35,17,34
1271690292,35,21,32
1271703212,35,16,33
1271818786,35,15,30
1271830857,35,23,31
1271855459,35,27,32
1271856688,35,16,27
1271981936,35,16,32
1272069331,35,18,35
1272150164,35,17,33
1272164748,35,13,34
1272183980,35,13,35
1272258526,35,20,32
1272264787,35,17,35
1272294806,35,18,30
1272303725,35,24,32
1272334629,35,7,31
1272361374,35,21,31
1272361868,35,16,22
1272434939,35,23,35
1272525187,35,7,30
1272526196,35,17,35
1272591338,35,27,32
1272657320,35,22,33
1272795681,35,25,26
1272856884,35,18,32
1272923009,35,11,30
1272966398,35,21,34
1272993525,35,14,33
1273217413,35,20,30
1273376822,35,17,34
1273399023,35,20,33
1273446451,35,10,29
1273447667,35,8,33
1273476984,35,16,35
1273544935,35,19,34
1273582447,35,18,34
1273583704,35,18,35
1273628467,35,10,33
1273641315,35,13,30
1273655452,35,19,32
1273668648,35,19,31
1273772337,35,15,31
1273793916,35,6,32
1273801342,35,23,33
12738216,35,6,33
1273884811,35,28,30
1273998098,35,17,29
1274043093,35,13,21
1274092076,35,22,34
1274131627,35,28,33
1274215334,35,21,33
1274288933,35,11,35
1274316511,35,24,30
1274323531,35,18,30
1274354805,35,22,32
1274356355,35,26,29
1274576148,35,22,33
1274618075,35,10,30
1274639069,35,19,32
1274667116,35,20,28
1274798338,35,23,32
1274850031,35,12,35
1274891227,35,18,34
1274901386,35,13,30
1274926455,35,21,31
1274991864,35,17,33
1275031336,35,15,33
1275041149,35,11,31
1275176558,35,20,33
1275189375,35,19,30
1275254419,35,24,32
1275301268,35,17,35
1275305335,35,22,31
1275341398,35,25,27
